date,firm_id,V,sigma_V,DD,PD
2020-01-02,AAPL,1357033.7931279328,0.42294585570137305,5.33208504795836,4.8545722058672875e-08
2020-01-03,AAPL,1345026.5054073625,0.42254094332332226,5.316329503520377,5.2940669782572537e-08
2020-01-06,AAPL,1354845.905440311,0.4228689143928323,5.329079951746722,4.93557690906348e-08
2020-01-07,AAPL,1349089.7054213367,0.42267722673180386,5.321615407271851,5.142491516190143e-08
2020-01-08,AAPL,1368572.21910346,0.4233149937174268,5.346594971930752,4.481213188719175e-08
2020-01-09,AAPL,1394983.0191734354,0.4241570316675612,5.3802037141304995,3.720079855523021e-08
2020-01-10,AAPL,1397861.1191800656,0.4242472021864227,5.383828175331871,3.645905732220886e-08
2020-01-13,AAPL,1424962.1341600344,0.42507094019577546,5.417510253778807,3.021734236305241e-08
2020-01-14,AAPL,1407354.9341239114,0.42453675887124576,5.395574870824423,3.41522510673904e-08
2020-01-15,AAPL,1401937.3341117927,0.4243694944864457,5.388780235736687,3.5468742235168436e-08
2020-01-16,AAPL,1417864.550369663,0.4248530003982748,5.408518833958512,3.1774052797100084e-08
2020-01-17,AAPL,1432085.7503969101,0.42527950052178787,5.426135534488679,2.8793618601633272e-08
2020-01-21,AAPL,1423295.1679060534,0.42501265939019905,5.415086777466204,3.06294944544804e-08
2020-01-22,AAPL,1427866.2679148521,0.4251496251805983,5.4207473312084,2.967519809185001e-08
2020-01-23,AAPL,1434143.3867538027,0.42533205335290897,5.428317993627048,2.844380863208689e-08
2020-01-24,AAPL,1430418.786747063,0.4252214773790844,5.423724618545816,2.9184892474198344e-08
2020-01-27,AAPL,1392156.9866658035,0.42405209354320517,5.375914580702767,3.809745548561761e-08
2020-01-28,AAPL,1427892.3068711606,0.42514115553334336,5.420436255124024,2.9726884868173237e-08
2020-01-29,AAPL,1455149.6069178237,0.4259406375016049,5.453857623435387,2.4644335516421724e-08
2020-01-30,AAPL,1453118.0069149602,0.4258824060197483,5.451381040839082,2.4990074974540865e-08
2020-01-31,AAPL,1394553.2282326675,0.42412055997277515,5.378561608220524,3.754164465140684e-08
2020-02-03,AAPL,1390997.9282233987,0.4240060451753176,5.374108399221902,3.8481274749175416e-08
2020-02-04,AAPL,1432645.728312669,0.4252780171545351,5.426134655022666,2.879376040139179e-08
2020-02-05,AAPL,1443324.6510644066,0.4255895249810311,5.439066209303317,2.6780274797086167e-08
2020-02-06,AAPL,1458730.9510887174,0.4260352946266729,5.457851562281179,2.4096513921464843e-08
2020-02-07,AAPL,1440615.8510594089,0.4255102546753673,5.43574395921662,2.7284133413520543e-08
2020-02-10,AAPL,1446892.9751063501,0.4256894273491523,5.4432555210753835,2.615775906062726e-08
2020-02-11,AAPL,1438935.8750929025,0.4254565727051599,5.433505917651185,2.762872514547153e-08
2020-02-12,AAPL,1469917.7751399498,0.42634863705335657,5.471211279706514,2.2348502453132045e-08
2020-02-13,AAPL,1460450.0004659018,0.42607617263431824,5.45958186125998,2.3862862339409403e-08
2020-02-14,AAPL,1460788.6005785656,0.41722688108408684,5.584877164247551,1.1693272575266408e-08
2020-02-18,AAPL,1436422.4272625898,0.4081952441600182,5.676125676586988,6.8889785295508415e-09
2020-02-19,AAPL,1455384.0272975077,0.40077867550267054,5.82137164392658,2.9183310552024934e-09
2020-02-20,AAPL,1441840.02731114,0.39286090088121434,5.922894933167252,1.5816147917445325e-09
2020-02-21,AAPL,1412056.2552570347,0.3850478239490431,5.996500981129615,1.008071963178441e-09
2020-02-24,AAPL,1351277.5552574312,0.37767163123059705,6.004571041306647,9.591920263501106e-10
2020-02-25,AAPL,1309799.055258472,0.3716270887102969,6.024436975512129,8.484965680136968e-10
2020-02-26,AAPL,1328604.3845062049,0.3675264065624885,6.134293413118457,4.276925917774173e-10
2020-02-27,AAPL,1250218.4845065034,0.3627881411522539,6.051560250392249,7.17248065815709e-10
2020-02-28,AAPL,1249541.2845077366,0.36063231345041125,6.088395812773881,5.70238164020527e-10
2020-03-02,AAPL,1353843.115084693,0.36701992584414583,6.194266074718796,2.9278617973337484e-10
2020-03-03,AAPL,1314904.115057282,0.3692881063886954,6.0749329410808866,6.201977257993235e-10
2020-03-04,AAPL,1369939.6469102544,0.3753881373373591,6.079126962360586,6.041932707115532e-10
2020-03-05,AAPL,1329646.2469043196,0.3788682729167658,5.941025132531482,1.4162259036039743e-09
2020-03-06,AAPL,1313732.0468974954,0.3827342266383937,5.845708761016945,2.522079485012706e-09
2020-03-09,AAPL,1220122.1799838464,0.38654565586539386,5.592782598292311,1.1172951179209237e-08
2020-03-10,AAPL,1298677.3799569004,0.398570862084767,5.568747693235192,1.2828834885389392e-08
2020-03-11,AAPL,1258045.3797568588,0.4056725544744321,5.3858652356091365,3.604848468898995e-08
2020-03-12,AAPL,1146659.0126705403,0.4127307453436306,5.061902428005711,2.0754673002283317e-07
2020-03-13,AAPL,1268555.0115442139,0.43608097746740787,4.999802463450542,2.869453984000428e-07
2020-03-16,AAPL,1122110.485305637,0.4522347290340985,4.534098346796125,2.8925035802929287e-06
2020-03-17,AAPL,1165633.5722156484,0.47609168358564535,4.363354354591295,6.4041611889196904e-06
2020-03-18,AAPL,1140407.7379175152,0.493562816234006,4.14740992945821,1.681288438994782e-05
2020-03-19,AAPL,1132619.6919831396,0.5100341189209237,3.9838304395950903,3.390663330945367e-05
2020-03-20,AAPL,1068975.2124200899,0.5223030015505898,3.7672075671215155,8.254187000613457e-05
2020-03-23,AAPL,1048996.7919519222,0.5357927099185786,3.6238285994080246,0.00014513700312721554
